window_ts,unit_parent_number,uat_event_ts,prod_event_ts,uat_delay,prod_delay,delay_improvement
2023-10-11 00:20:00.000000 UTC,199186,2023-10-11 00:25:05.963803 UTC,2023-10-11 01:06:51.782592 UTC,305,2811,0
2023-10-11 01:15:00.000000 UTC,199186,2023-10-11 01:24:47.740684 UTC,2023-10-11 01:56:54.952723 UTC,587,2514,0
2023-10-11 13:15:00.000000 UTC,621003,2023-10-11 13:24:28.124878 UTC,2023-10-11 13:36:52.485333 UTC,568,1312,0
2023-10-11 12:40:00.000000 UTC,621003,2023-10-11 12:44:30.758147 UTC,2023-10-11 13:36:52.485333 UTC,270,3412,0
2023-10-11 12:55:00.000000 UTC,621003,2023-10-11 13:04:50.629265 UTC,2023-10-11 13:56:45.698474 UTC,590,3705,0
2023-10-11 12:30:00.000000 UTC,621003,2023-10-11 12:34:49.703958 UTC,2023-10-11 13:06:35.391699 UTC,289,2195,0
2023-10-11 13:20:00.000000 UTC,621003,2023-10-11 13:24:28.124878 UTC,2023-10-11 14:06:32.424355 UTC,268,2792,0
2023-10-11 12:50:00.000000 UTC,621003,2023-10-11 12:54:39.861226 UTC,2023-10-11 13:06:35.391699 UTC,279,995,0
2023-10-11 13:00:00.000000 UTC,621003,2023-10-11 13:04:50.629265 UTC,2023-10-11 13:56:45.698474 UTC,290,3405,0
2023-10-11 12:35:00.000000 UTC,621003,2023-10-11 12:44:30.758147 UTC,2023-10-11 13:06:35.391699 UTC,570,1895,0
2023-10-11 12:45:00.000000 UTC,621003,2023-10-11 12:54:39.861226 UTC,2023-10-11 13:16:32.081823 UTC,579,1892,0
2023-10-11 01:55:00.000000 UTC,621352,2023-10-11 02:04:55.294406 UTC,2023-10-11 02:06:53.945671 UTC,595,713,0
2023-10-11 01:35:00.000000 UTC,621352,2023-10-11 01:44:51.700769 UTC,2023-10-11 02:06:53.945671 UTC,591,1913,0
2023-10-11 01:45:00.000000 UTC,621352,2023-10-11 01:55:08.262666 UTC,2023-10-11 02:06:53.945671 UTC,608,1313,0
2023-10-11 02:05:00.000000 UTC,621352,2023-10-11 02:15:06.381449 UTC,2023-10-11 03:06:30.586989 UTC,606,3690,0
2023-10-11 01:50:00.000000 UTC,621352,2023-10-11 01:55:08.262666 UTC,2023-10-11 02:06:53.945671 UTC,308,1013,0
2023-10-11 02:10:00.000000 UTC,621352,2023-10-11 02:15:06.381449 UTC,2023-10-11 03:06:30.586989 UTC,306,3390,0
2023-10-11 02:15:00.000000 UTC,621352,2023-10-11 02:24:50.769463 UTC,2023-10-11 03:06:30.586989 UTC,590,3090,0
2023-10-11 04:30:00.000000 UTC,621352,2023-10-11 04:34:25.282981 UTC,2023-10-11 05:06:30.456715 UTC,265,2190,0
2023-10-11 02:00:00.000000 UTC,621352,2023-10-11 02:04:55.294406 UTC,2023-10-11 03:06:30.586989 UTC,295,3990,0
2023-10-11 04:15:00.000000 UTC,621352,2023-10-11 04:24:28.265401 UTC,2023-10-11 05:06:30.456715 UTC,568,3090,0
2023-10-11 02:20:00.000000 UTC,621352,2023-10-11 02:24:50.769463 UTC,2023-10-11 03:06:30.586989 UTC,290,2790,0
2023-10-11 01:30:00.000000 UTC,621418,2023-10-11 01:34:56.379943 UTC,2023-10-11 02:06:53.945671 UTC,296,2213,0
2023-10-11 01:25:00.000000 UTC,621418,2023-10-11 01:34:56.379943 UTC,2023-10-11 02:06:53.945671 UTC,596,2513,0
2023-10-11 01:10:00.000000 UTC,621418,2023-10-11 01:14:44.812130 UTC,2023-10-11 02:06:53.945671 UTC,284,3413,0
2023-10-11 01:05:00.000000 UTC,621418,2023-10-11 01:14:44.812130 UTC,2023-10-11 02:06:53.945671 UTC,584,3713,0
2023-10-11 01:35:00.000000 UTC,621418,2023-10-11 01:44:51.700769 UTC,2023-10-11 02:17:40.673819 UTC,591,2560,0
2023-10-11 01:00:00.000000 UTC,621418,2023-10-11 01:05:44.136181 UTC,2023-10-11 01:46:56.861675 UTC,344,2816,0
2023-10-11 01:15:00.000000 UTC,621418,2023-10-11 01:24:47.740684 UTC,2023-10-11 02:06:53.945671 UTC,587,3113,0
2023-10-11 01:20:00.000000 UTC,621418,2023-10-11 01:24:47.740684 UTC,2023-10-11 01:56:54.952723 UTC,287,2214,0
2023-10-11 01:40:00.000000 UTC,621418,2023-10-11 01:44:51.700769 UTC,2023-10-11 02:06:53.945671 UTC,291,1613,0
2023-10-11 08:00:00.000000 UTC,621395,2023-10-11 08:04:31.950352 UTC,2023-10-11 08:56:43.068479 UTC,271,3403,0
2023-10-11 12:00:00.000000 UTC,620615,2023-10-11 12:04:32.658837 UTC,2023-10-11 12:26:41.499430 UTC,272,1601,0
2023-10-11 12:25:00.000000 UTC,620615,2023-10-11 12:34:49.703958 UTC,2023-10-11 13:06:35.391699 UTC,589,2495,0
2023-10-11 12:05:00.000000 UTC,620615,2023-10-11 12:14:45.085097 UTC,2023-10-11 13:06:35.391699 UTC,585,3695,0
2023-10-11 12:10:00.000000 UTC,620615,2023-10-11 12:14:45.085097 UTC,2023-10-11 12:46:38.351408 UTC,285,2198,0
2023-10-11 12:20:00.000000 UTC,620615,2023-10-11 12:24:43.780997 UTC,2023-10-11 12:46:38.351408 UTC,283,1598,0
2023-10-11 11:55:00.000000 UTC,620615,2023-10-11 12:04:32.658837 UTC,2023-10-11 12:06:34.444678 UTC,572,694,0
2023-10-11 11:45:00.000000 UTC,620615,2023-10-11 11:54:34.889194 UTC,2023-10-11 12:06:34.444678 UTC,574,1294,0
2023-10-07 00:45:00.000000 UTC,620417,2023-10-07 00:54:53.527183 UTC,2023-10-07 01:06:43.063101 UTC,593,1303,0
2023-10-07 13:40:00.000000 UTC,621095,2023-10-07 13:44:37.475408 UTC,2023-10-07 14:26:39.856117 UTC,277,2799,0
2023-10-07 10:55:00.000000 UTC,620950,2023-10-07 11:04:42.500297 UTC,2023-10-07 10:56:24.691571 UTC,582,84,0
2023-10-07 11:00:00.000000 UTC,620950,2023-10-07 11:04:42.500297 UTC,2023-10-07 11:06:45.120074 UTC,282,405,0
2023-10-07 18:35:00.000000 UTC,620538,2023-10-07 18:44:33.839969 UTC,2023-10-07 18:56:38.985912 UTC,573,1298,0
2023-10-07 18:30:00.000000 UTC,620538,2023-10-07 18:34:39.631394 UTC,2023-10-07 19:26:35.989084 UTC,279,3395,0
2023-10-07 11:45:00.000000 UTC,621369,2023-10-07 11:54:34.146440 UTC,2023-10-07 12:36:30.906307 UTC,574,3090,0
2023-10-07 18:30:00.000000 UTC,621384,2023-10-07 18:34:39.631394 UTC,2023-10-07 18:56:38.985912 UTC,279,1598,0
2023-10-07 00:50:00.000000 UTC,620898,2023-10-07 00:54:53.527183 UTC,2023-10-07 01:06:43.063101 UTC,293,1003,0
2023-10-07 01:05:00.000000 UTC,620898,2023-10-07 01:14:43.301008 UTC,2023-10-07 01:26:41.621558 UTC,583,1301,0
2023-10-07 01:00:00.000000 UTC,620898,2023-10-07 01:05:00.243779 UTC,2023-10-07 01:56:50.748549 UTC,300,3410,0
2023-10-07 00:55:00.000000 UTC,620898,2023-10-07 01:05:00.243779 UTC,2023-10-07 01:06:43.063101 UTC,600,703,0
2023-10-07 19:40:00.000000 UTC,621248,2023-10-07 19:44:51.470283 UTC,2023-10-07 20:06:37.757831 UTC,291,1597,0
2023-10-07 19:30:00.000000 UTC,621248,2023-10-07 19:34:39.448682 UTC,2023-10-07 20:26:36.905638 UTC,279,3396,0
2023-10-07 19:25:00.000000 UTC,621248,2023-10-07 19:34:39.448682 UTC,2023-10-07 20:06:37.757831 UTC,579,2497,0
2023-10-07 17:45:00.000000 UTC,621227,2023-10-07 17:54:42.396549 UTC,2023-10-07 18:36:42.531950 UTC,582,3102,0
